state[0],state[1],state[2],action[0],action[1]
-0.2,-0.2,1.57,0.87372607,-1.2558997
-0.199996521,-0.195631371,1.519555402,0.85537565,-1.2710533
-0.199777466,-0.191360106,1.470170266,0.83434224,-1.2803881
-0.199358391,-0.187209498,1.421999494,0.81520104,-1.2866442
-0.19875413,-0.183178532,1.37493384,0.81468356,-1.2786411
-0.197961391,-0.179182997,1.327898063,0.79849494,-1.2263039
-0.197001134,-0.175307722,1.281796936,0.7822516,-1.1672611
-0.195886452,-0.171558665,1.236633619,0.76273274,-1.0994151
-0.194635653,-0.167955953,1.192597224,0.7595575,-1.0642189
-0.19323333,-0.164426551,1.148744152,0.7573892,-1.0268799
-0.19168207,-0.160971909,1.106998562,0.764115,-0.93645924
-0.189972944,-0.15755494,1.07238149,0.7672565,-0.84388995
-0.188139071,-0.154185374,1.043624666,0.7609927,-0.76961786
-0.186224828,-0.150896997,1.01904645,0.74163675,-0.77433145
-0.184281079,-0.147739076,0.994866423,0.72149706,-0.8307051
-0.182316389,-0.144713528,0.968532207,0.69455695,-0.7699253
-0.180349023,-0.141851762,0.9460859,0.6806796,-0.69756114
-0.178358503,-0.139091155,0.927069349,0.67579633,-0.72520185
-0.176330503,-0.136388428,0.907103769,0.6761984,-0.7375751
-0.174247712,-0.133725143,0.886622783,0.66885996,-0.75054467
-0.172134005,-0.131133506,0.865829837,0.6608649,-0.7583871
-0.169992775,-0.128616822,0.844960027,0.658985,-0.70251757
-0.167805732,-0.126152401,0.826363444,0.6577051,-0.6006307
-0.165577575,-0.123733781,0.81134446,0.6549485,-0.5659157
-0.163322836,-0.121358894,0.797476553,0.6684483,-0.5375087
-0.160988231,-0.1189672,0.784195638,0.66260624,-0.43383613
-0.158642749,-0.116627352,0.773963403,0.6412394,-0.33844706
-0.15634985,-0.1143863,0.766439728,0.61581117,-0.25262892
-0.154131746,-0.112250744,0.761140794,0.59231496,-0.177995
-0.151987419,-0.110208004,0.7575889,0.5720761,-0.14945102
-0.149909367,-0.108242432,0.754717579,0.55801773,-0.15292765
-0.147876885,-0.10633099,0.75185065,0.54759943,-0.13327123
-0.14587698,-0.10446096,0.749403503,0.5419791,-0.11904359
-0.143893078,-0.102614974,0.747242648,0.5367876,-0.107215345
-0.141924234,-0.100790919,0.745316868,0.5325452,-0.09714268
-0.139967468,-0.098985046,0.743586994,0.53751343,-0.0734829
-0.137989297,-0.097165744,0.742268017,0.55094206,-0.023675503
-0.135959248,-0.095303668,0.741833142,0.5634744,0.027787056
-0.133882194,-0.093400137,0.742355186,0.57389313,0.022454921
-0.131767746,-0.091460306,0.742784816,0.5920798,-0.047753293
-0.129587152,-0.089458064,0.74184164,0.60795355,-0.15469013
-0.127346158,-0.087404255,0.73868158,0.6105205,-0.27413896
-0.125089195,-0.085348896,0.732958576,0.612578,-0.37293068
-0.122812861,-0.083299604,0.724969772,0.61440337,-0.42862028
-0.120513396,-0.08126251,0.715611341,0.6059015,-0.4654806
-0.118227051,-0.079274914,0.705466665,0.60219777,-0.45274833
-0.115934758,-0.077322621,0.695702044,0.5999467,-0.46113667
-0.11363215,-0.075400019,0.685765622,0.59992284,-0.46061927
-0.111310646,-0.073500466,0.675842492,0.5971749,-0.4643669
-0.108981126,-0.071632638,0.665871673,0.6002149,-0.5072818
-0.106621145,-0.06977874,0.654751783,0.58870876,-0.5451828
-0.104286328,-0.067986232,0.642850119,0.569664,-0.5149343
-0.10200656,-0.066278724,0.632105214,0.55186975,-0.49231914
-0.099780358,-0.064648378,0.62223832,0.5349974,-0.4741524
-0.097606728,-0.063089247,0.613086284,0.52095675,-0.46186256
-0.095476338,-0.061590469,0.604442384,0.51225585,-0.4583126
-0.093368868,-0.060134886,0.596018355,0.50242454,-0.45202506
-0.091289893,-0.058724701,0.587886529,0.4919296,-0.44884363
-0.089243183,-0.057360571,0.579988933,0.47924992,-0.3850864
-0.087238796,-0.056047391,0.573513905,0.47053102,-0.25922966
-0.085262566,-0.054770871,0.56935446,0.4635721,-0.15366614
-0.08331035,-0.053521339,0.566961081,0.46016395,-0.0633085
-0.081369524,-0.052285635,0.565988705,0.46633476,0.029836826
-0.079401454,-0.051035274,0.566452641,0.4733587,0.03071128
-0.07740433,-0.049765153,0.566937375,0.47499737,-0.011641384
-0.07540091,-0.048489664,0.566753046,0.47858042,-0.048303537
-0.073382142,-0.047204925,0.565981875,0.4848795,-0.10267457
-0.071335799,-0.045904854,0.564316526,0.49620068,-0.124367036
-0.069239464,-0.044577918,0.562248821,0.5064469,-0.101195455
-0.067097046,-0.043228009,0.560534628,0.5161849,-0.06492771
-0.064911078,-0.041855889,0.559415898,0.53227645,-0.008520738
-0.062655382,-0.040443516,0.559264715,0.5599358,0.049190033
-0.060282247,-0.03895811,0.560183565,0.58436567,0.07263244
-0.057806998,-0.037405621,0.561600855,0.5885966,0.05347797
-0.055316047,-0.035838359,0.562651088,0.57707155,-0.012413344
-0.052875484,-0.034299221,0.562412296,0.5874516,-0.06053808
-0.050390649,-0.032732992,0.561225406,0.61235607,-0.11404669
-0.047798535,-0.031103439,0.558887355,0.6427654,-0.14347744
-0.045073705,-0.029399329,0.555792007,0.66945255,-0.13991861
-0.042230263,-0.027633259,0.552649176,0.7101881,-0.08738038
-0.039207927,-0.025769214,0.550575345,0.7427064,-0.09031113
-0.036043167,-0.023826377,0.548333424,0.6808721,-0.039044093
-0.033137905,-0.022051801,0.547446839,0.56114644,0.1510306
-0.030742213,-0.020591392,0.550293526,0.4799357,0.22556129
-0.028696796,-0.019336511,0.553964493,0.45583642,0.095596686
-0.026758476,-0.018137517,0.555421482,0.42980176,-0.16960487
-0.02493251,-0.017004342,0.552968029,0.4084493,-0.3275149
-0.02319462,-0.015931723,0.548342334,0.3975077,-0.44269785
-0.021498475,-0.014895672,0.542060645,0.37578112,-0.49787745
-0.2,-0.2,1.57,0.87372607,-1.2558997
-0.199996521,-0.195631371,1.519555402,0.85537565,-1.2710533
-0.199777466,-0.191360106,1.470170266,0.83434224,-1.2803881
-0.199358391,-0.187209498,1.421999494,0.81520104,-1.2866442
-0.19875413,-0.183178532,1.37493384,0.81468356,-1.2786411
-0.197961391,-0.179182997,1.327898063,0.79849494,-1.2263039
-0.197001134,-0.175307722,1.281796936,0.7822516,-1.1672611
-0.195886452,-0.171558665,1.236633619,0.76273274,-1.0994151
-0.194635653,-0.167955953,1.192597224,0.7595575,-1.0642189
-0.19323333,-0.164426551,1.148744152,0.7573892,-1.0268799
-0.19168207,-0.160971909,1.106998562,0.764115,-0.93645924
-0.189972944,-0.15755494,1.07238149,0.7672565,-0.84388995
-0.188139071,-0.154185374,1.043624666,0.7609927,-0.76961786
-0.186224828,-0.150896997,1.01904645,0.74163675,-0.77433145
-0.184281079,-0.147739076,0.994866423,0.72149706,-0.8307051
-0.182316389,-0.144713528,0.968532207,0.69455695,-0.7699253
-0.180349023,-0.141851762,0.9460859,0.6806796,-0.69756114
-0.178358503,-0.139091155,0.927069349,0.67579633,-0.72520185
-0.176330503,-0.136388428,0.907103769,0.6761984,-0.7375751
-0.174247712,-0.133725143,0.886622783,0.66885996,-0.75054467
-0.172134005,-0.131133506,0.865829837,0.6608649,-0.7583871
-0.169992775,-0.128616822,0.844960027,0.658985,-0.70251757
-0.167805732,-0.126152401,0.826363444,0.6577051,-0.6006307
-0.2,-0.2,1.57,0.87372607,-1.2558997
-0.199996521,-0.195631371,1.519555402,0.85537565,-1.2710533
-0.199777466,-0.191360106,1.470170266,0.83434224,-1.2803881
-0.199358391,-0.187209498,1.421999494,0.81520104,-1.2866442
-0.19875413,-0.183178532,1.37493384,0.81468356,-1.2786411
-0.197961391,-0.179182997,1.327898063,0.79849494,-1.2263039
-0.197001134,-0.175307722,1.281796936,0.7822516,-1.1672611
-0.195886452,-0.171558665,1.236633619,0.76273274,-1.0994151
-0.194635653,-0.167955953,1.192597224,0.7595575,-1.0642189
-0.19323333,-0.164426551,1.148744152,0.7573892,-1.0268799
-0.19168207,-0.160971909,1.106998562,0.764115,-0.93645924
-0.189972944,-0.15755494,1.07238149,0.7672565,-0.84388995
-0.188139071,-0.154185374,1.043624666,0.7609927,-0.76961786
-0.186224828,-0.150896997,1.01904645,0.74163675,-0.77433145
-0.184281079,-0.147739076,0.994866423,0.72149706,-0.8307051
-0.182316389,-0.144713528,0.968532207,0.69455695,-0.7699253
-0.180349023,-0.141851762,0.9460859,0.6806796,-0.69756114
-0.178358503,-0.139091155,0.927069349,0.67579633,-0.72520185
-0.176330503,-0.136388428,0.907103769,0.6761984,-0.7375751
-0.174247712,-0.133725143,0.886622783,0.66885996,-0.75054467
-0.172134005,-0.131133506,0.865829837,0.6608649,-0.7583871
-0.169992775,-0.128616822,0.844960027,0.658985,-0.70251757
-0.167805732,-0.126152401,0.826363444,0.6577051,-0.6006307
-0.165577575,-0.123733781,0.81134446,0.6549485,-0.5659157
-0.163322836,-0.121358894,0.797476553,0.6684483,-0.5375087
-0.160988231,-0.1189672,0.784195638,0.66260624,-0.43383613
-0.158642749,-0.116627352,0.773963403,0.6412394,-0.33844706
-0.15634985,-0.1143863,0.766439728,0.61581117,-0.25262892
-0.154131746,-0.112250744,0.761140794,0.59231496,-0.177995
-0.151987419,-0.110208004,0.7575889,0.5720761,-0.14945102
-0.149909367,-0.108242432,0.754717579,0.55801773,-0.15292765
-0.147876885,-0.10633099,0.75185065,0.54759943,-0.13327123
-0.14587698,-0.10446096,0.749403503,0.5419791,-0.11904359
-0.143893078,-0.102614974,0.747242648,0.5367876,-0.107215345
-0.141924234,-0.100790919,0.745316868,0.5325452,-0.09714268
-0.139967468,-0.098985046,0.743586994,0.53751343,-0.0734829
-0.137989297,-0.097165744,0.742268017,0.55094206,-0.023675503
-0.135959248,-0.095303668,0.741833142,0.5634744,0.027787056
-0.133882194,-0.093400137,0.742355186,0.57389313,0.022454921
-0.131767746,-0.091460306,0.742784816,0.5920798,-0.047753293
-0.129587152,-0.089458064,0.74184164,0.60795355,-0.15469013
-0.127346158,-0.087404255,0.73868158,0.6105205,-0.27413896
-0.125089195,-0.085348896,0.732958576,0.612578,-0.37293068
-0.122812861,-0.083299604,0.724969772,0.61440337,-0.42862028
-0.120513396,-0.08126251,0.715611341,0.6059015,-0.4654806
-0.118227051,-0.079274914,0.705466665,0.60219777,-0.45274833
-0.115934758,-0.077322621,0.695702044,0.5999467,-0.46113667
-0.11363215,-0.075400019,0.685765622,0.59992284,-0.46061927
-0.111310646,-0.073500466,0.675842492,0.5971749,-0.4643669
-0.108981126,-0.071632638,0.665871673,0.6002149,-0.5072818
-0.106621145,-0.06977874,0.654751783,0.58870876,-0.5451828
-0.104286328,-0.067986232,0.642850119,0.569664,-0.5149343
-0.10200656,-0.066278724,0.632105214,0.55186975,-0.49231914
-0.099780358,-0.064648378,0.62223832,0.5349974,-0.4741524
-0.097606728,-0.063089247,0.613086284,0.52095675,-0.46186256
-0.095476338,-0.061590469,0.604442384,0.51225585,-0.4583126
-0.093368868,-0.060134886,0.596018355,0.50242454,-0.45202506
-0.091289893,-0.058724701,0.587886529,0.4919296,-0.44884363
-0.089243183,-0.057360571,0.579988933,0.47924992,-0.3850864
-0.087238796,-0.056047391,0.573513905,0.47053102,-0.25922966
-0.085262566,-0.054770871,0.56935446,0.4635721,-0.15366614
-0.08331035,-0.053521339,0.566961081,0.46016395,-0.0633085
-0.081369524,-0.052285635,0.565988705,0.46633476,0.029836826
-0.079401454,-0.051035274,0.566452641,0.4733587,0.03071128
-0.07740433,-0.049765153,0.566937375,0.47499737,-0.011641384
-0.07540091,-0.048489664,0.566753046,0.47858042,-0.048303537
-0.073382142,-0.047204925,0.565981875,0.4848795,-0.10267457
-0.071335799,-0.045904854,0.564316526,0.49620068,-0.124367036
-0.069239464,-0.044577918,0.562248821,0.5064469,-0.101195455
-0.067097046,-0.043228009,0.560534628,0.5161849,-0.06492771
-0.064911078,-0.041855889,0.559415898,0.53227645,-0.008520738
-0.062655382,-0.040443516,0.559264715,0.5599358,0.049190033
-0.060282247,-0.03895811,0.560183565,0.58436567,0.07263244
-0.057806998,-0.037405621,0.561600855,0.5885966,0.05347797
-0.055316047,-0.035838359,0.562651088,0.57707155,-0.012413344
-0.052875484,-0.034299221,0.562412296,0.5874516,-0.06053808
-0.050390649,-0.032732992,0.561225406,0.61235607,-0.11404669
-0.047798535,-0.031103439,0.558887355,0.6427654,-0.14347744
-0.045073705,-0.029399329,0.555792007,0.66945255,-0.13991861
-0.042230263,-0.027633259,0.552649176,0.7101881,-0.08738038
-0.039207927,-0.025769214,0.550575345,0.7427064,-0.09031113
-0.036043167,-0.023826377,0.548333424,0.6808721,-0.039044093
-0.033137905,-0.022051801,0.547446839,0.56114644,0.1510306
-0.030742213,-0.020591392,0.550293526,0.4799357,0.22556129
-0.028696796,-0.019336511,0.553964493,0.45583642,0.095596686
-0.026758476,-0.018137517,0.555421482,0.42980176,-0.16960487
-0.02493251,-0.017004342,0.552968029,0.4084493,-0.3275149
-0.02319462,-0.015931723,0.548342334,0.3975077,-0.44269785
-0.021498475,-0.014895672,0.542060645,0.37578112,-0.49787745
